K,P,e
10016825,100610-10_10016825_0220,1
10016825,100610-10_10016825_0230,1
10016851,111350-14_10016851_6408,1
10016851,111350-17_10016851_6708,1
10016851,111350-18_10016851_6814,1
10016965,110980-02_10016965_0800,1
10016965,110980-02_10016965_0801,1
10016965,111190-01_10016965_0101,1
10016965,110980-01_10016965_0702,1
10016965,111190-01_10016965_0105,1
10016965,110980-02_10016965_0201,1
10016965,111190-01_10016965_0103,1
10016965,110980-02_10016965_0200,1
10016965,110980-01_10016965_0700,1
10016965,110980-01_10016965_0902,1
10016965,110980-01_10016965_0901,1
10016965,110980-01_10016965_0900,1
10016965,110980-01_10016965_0706,1
10016965,110980-01_10016965_0703,1
10016965,110980-01_10016965_0903,1
10017043,100600-01_10017043_0210,1
10017043,100600-05_10017043_0210,1
10017114,123410-15_10017114_0400,1
10017236,123590-01_10017236_0303,1
10017236,123590-01_10017236_0304,1
10017261,111220-05_10017261_0500,1
10017275,123410-15_10017275_0200,1
10017329,111190-01_10017329_0102,1
10017329,111190-01_10017329_0101,1
10017329,111190-01_10017329_0103,1
10017329,110980-01_10017329_0705,1
10017329,111190-03_10017329_0300,1
10017329,110980-01_10017329_0703,1
10017329,110980-01_10017329_0702,1
10017329,110980-01_10017329_0701,1
10017329,110980-01_10017329_0700,1
10017329,110980-01_10017329_0704,1
10017329,111190-03_10017329_0301,1
10017362,123550-09_10017362_1000,1
10017366,123540-10_10017366_0100,1
10017373,100680-10_10017373_0110,1
10017377,135100-21_10017377_0700,1
10017415,124870-01_10017415_0600,1
10017437,123410-15_10017437_0200,1
10017458,111260-11_10017458_0500,1
10017473,100470-06_10017473_0110,1
10017495,123520-17_10017495_0100,1
10017518,135130-02_10017518_0100,1
10017526,123080-12_10017526_0500,1
10017526,123080-15_10017526_0600,1
10017526,123080-06_10017526_0700,1
10017545,123550-12_10017545_1000,1
10017619,111580-07_10017619_0200,1
10017634,123590-01_10017634_0500,1
10017634,123590-01_10017634_0300,1
10017634,123590-01_10017634_0102,1
10017634,123590-01_10017634_0104,1
10017668,124500-06_10017668_0900,1
10017720,110980-01_10017720_0700,1
10017720,110980-01_10017720_0701,1
10017720,110980-01_10017720_0704,1
10017720,110980-01_10017720_0705,1
10017727,140500-01_10001181_0500,1
10017735,135100-08_10017735_0500,1
10017735,135100-21_10017735_0600,1
10017769,111190-01_10017769_0103,1
10017769,111190-03_10017769_0301,1
10017769,111190-03_10017769_0300,1
10017769,111190-01_10017769_0102,1
10017769,110980-01_10017769_0700,1
10017769,110980-01_10017769_0704,1
10017769,110980-01_10017769_0703,1
10017769,110980-01_10017769_0701,1
10017769,111190-01_10017769_0101,1
10017770,110980-01_10017770_0700,1
10017770,110980-01_10017770_0701,1
10017770,110980-01_10017770_0703,1
10017770,110980-01_10017770_0704,1
10017770,111190-01_10017770_0100,1
10017770,111190-01_10017770_0101,1
10017770,111190-01_10017770_0102,1
10017778,124600-04_10017778_0400,1
10017778,124600-04_10017778_0200,1
10017781,151330-10_10017781_0100,1
10017794,111640-03_10017794_0300,1
10017794,111640-08_10017794_0800,1
10017826,135150-02_10017826_0400,1
10017830,111220-05_10017830_0500,1
10017848,110980-01_10017848_0700,1
10017848,110980-01_10017848_0702,1
10017848,110980-01_10017848_0704,1
10017848,110980-01_10017848_0705,1
10017850,110980-01_10017850_0705,1
10017850,110980-01_10017850_0704,1
10017850,110980-01_10017850_0702,1
10017850,110980-01_10017850_0700,1
10017859,110980-01_10017859_0700,1
10017859,110980-01_10017859_0702,1
10017859,110980-01_10017859_0704,1
10017859,110980-01_10017859_0705,1
10017860,110980-01_10017860_0700,1
10017860,110980-01_10017860_0702,1
10017860,110980-01_10017860_0704,1
10017860,110980-01_10017860_0705,1
10017904,111190-03_10017904_0203,1
10017904,111190-01_10017904_0107,1
10017904,111190-03_10017904_0201,1
10017904,111190-01_10017904_0101,1
10017904,111190-01_10017904_0105,1
10017924,111190-01_10017924_0101,1
10017924,111190-01_10017924_0105,1
10017924,111190-01_10017924_0112,1
10017924,111190-03_10017924_0201,1
10017924,111190-03_10017924_0202,1
10017925,111190-01_10017925_0101,1
10017925,111190-01_10017925_0103,1
10017925,111190-01_10017925_0104,1
10017925,111190-03_10017925_0201,1
10017925,111190-03_10017925_0202,1
10017927,111190-03_10017927_0202,1
10017927,111190-03_10017927_0201,1
10017927,111190-01_10017927_0106,1
10017927,111190-01_10017927_0101,1
10017927,111190-01_10017927_0112,1
10017937,111240-12_10017937_0100,1
10017954,111190-01_10017954_0101,1
10017954,111190-01_10017954_0105,1
10017954,111190-01_10017954_0111,1
10017954,111190-03_10017954_0201,1
10017954,111190-03_10017954_0203,1
10017955,111190-03_10017955_0202,1
10017955,111190-01_10017955_0109,1
10017955,111190-03_10017955_0201,1
10017955,111190-01_10017955_0101,1
10017955,111190-01_10017955_0104,1
10017956,111190-03_10017956_0301,1
10017956,110980-01_10017956_0700,1
10017956,110980-01_10017956_0701,1
10017956,110980-01_10017956_0703,1
10017956,110980-01_10017956_0704,1
10017956,111190-01_10017956_0101,1
10017956,111190-01_10017956_0102,1
10017956,111190-01_10017956_0103,1
10017956,111190-03_10017956_0300,1
10018039,111220-05_10018039_0500,1
10018113,110980-01_10018113_0704,1
10018113,110980-01_10018113_0703,1
10018113,111190-01_10018113_0101,1
10018113,110980-01_10018113_0700,1
10018113,110980-01_10018113_0701,1
10018113,111190-01_10018113_0102,1
10018209,151450-01_10083932_0100,1
10018209,151450-01_10206132_0100,1
10018209,151450-01_10077723_0100,1
10018209,151450-01_10061761_0100,1
10018209,151450-01_10065344_0100,1
10018209,151450-01_10065346_0100,1
10018209,151450-01_10061757_0100,1
10018312,123410-15_10018312_0200,1
10018369,111190-01_10018369_0101,1
10018369,111190-01_10018369_0106,1
10018369,111190-01_10018369_0108,1
10018474,111160-01_10003689_0401,1
10018641,123530-04_10018641_0800,1
10018641,123530-04_10018641_0801,1
10018649,110980-01_10018649_0700,1
10018649,110980-01_10018649_0701,1
10018649,110980-01_10018649_0702,1
10018649,110980-01_10018649_0705,1
10018718,135120-01_10018718_0100,1
10018719,135120-07_10018719_0100,1
10018741,111190-01_10018741_0101,1
10018741,111190-01_10018741_0106,1
10018741,111190-01_10018741_0111,1
10018741,111190-03_10018741_0201,1
10018741,111190-03_10018741_0202,1
10018770,123550-09_10018770_1100,1
10018770,123550-10_10018770_1000,1
10018799,123510-02_10018799_1000,1
10018821,100620-01_10018821_0210,1
10018823,111500-01_10018823_0100,1
10018866,123550-02_10018866_1000,1
10018887,124600-12_10018887_0400,1
10018889,124240-01_10000474_1000,1
10018889,124240-01_10000476_1000,1
10018920,123540-12_10018920_0300,1
10018920,123540-10_10018920_0100,1
10018927,123410-15_10018927_0200,1
10018932,111240-18_10018932_0300,1
10018952,110980-01_10018952_0700,1
10018952,110980-01_10018952_0701,1
10018952,110980-01_10018952_0702,1
10018952,110980-01_10018952_0704,1
10018952,110980-02_10018952_0200,1
10018952,110980-02_10018952_0201,1
10018958,123410-15_10018958_0200,1
10019023,111190-01_10019023_0101,1
10019023,111190-01_10019023_0104,1
10019023,111190-01_10019023_0106,1
10019086,123590-05_10019086_0400,1
10019147,100680-10_10019147_0210,1
10019261,111190-01_10019261_0103,1
10019261,111190-01_10019261_0102,1
10019261,111190-01_10019261_0100,1
10019261,111190-01_10019261_0101,1
10019270,111220-03_10019270_0300,1
10019284,111640-07_10002682_0700,1
10019284,111640-08_11041465_0100,1
10019284,111640-08_11037177_0800,1
10019284,111640-08_10904146_0800,1
10019284,111640-08_10701859_0800,1
10019284,111640-08_10204609_0800,1
10019284,111640-08_10202079_0800,1
10019284,111640-07_10072378_0700,1
10019284,111640-07_10072374_0700,1
10019284,111640-07_10071687_0700,1
10019284,111640-03_10048003_0300,1
10019284,111640-03_10063057_0300,1
10019284,111640-03_10904146_0300,1
10019284,111640-03_10008284_0300,1
10019284,111640-03_10009490_0300,1
10019284,111640-03_10066035_0300,1
10019284,111640-03_10069155_0300,1
10019284,111640-03_10965013_0300,1
10019284,111640-03_10097316_0300,1
10019284,111640-03_10202079_0300,1
10019284,111640-03_10204780_0300,1
10019284,111640-03_10206323_0300,1
10019284,111640-03_10086915_0330,1
10019320,110980-01_10019320_0700,1
10019320,110980-03_10019320_0100,1
10019348,124500-02_10019348_0300,1
10019410,123540-08_10019410_0500,1
10019448,123510-02_10019448_1000,1
10019451,110980-01_10019451_0104,1
10019451,110980-01_10019451_0103,1
10019451,110980-01_10019451_0700,1
10019451,110980-01_10019451_0101,1
10019451,110980-01_10019451_0100,1
10019451,110980-01_10019451_0102,1
10019490,111190-01_10019490_0100,1
10019490,111190-01_10019490_0105,1
10019490,111190-01_10019490_0108,1
10019490,111190-03_10019490_0300,1
10019490,111190-03_10019490_0301,1
10019504,124930-17_10019504_170A,1
10019504,124930-17_10019504_170B,1
10019504,124930-17_10019504_170C,1
10019540,123080-05_10019540_0300,1
10019699,110980-02_10019699_0200,1
10019699,110980-01_10019699_0705,1
10019699,110980-01_10019699_0700,1
10019699,110980-01_10019699_0702,1
10019699,110980-01_10019699_0704,1
10019770,124210-01_10019770_1000,1
10019844,100610-70_10019844_0210,1
10019947,124870-03_10019947_0500,1
10020052,135130-24_10020052_0400,1
10020074,135130-24_10020074_0400,1
10020097,135130-08_10020097_0100,1
10020100,135150-07_10020100_0200,1
10020101,123470-20_10020101_0300,1
10020108,135130-24_10020108_0400,1
10020175,134130-35_10020175_1500,1
10020204,135150-07_10020204_0200,1
10020273,135100-01_10020273_0400,1
10020317,135150-07_10020317_0400,1
10020342,135150-02_10020342_0300,1
10020342,135150-17_10020342_0800,1
10020408,135150-06_10020408_0600,1
10020431,135130-29_10020431_0500,1
10020445,135150-07_10020445_0400,1
10020486,135150-06_10020486_0300,1
10020539,135150-02_10020539_0300,1
10020539,135150-17_10020539_0800,1
10020557,134130-05_10020557_1700,1
10020648,134130-05_10020648_1400,1
10020780,135150-07_10020780_0200,1
10020881,135130-24_10020881_0400,1
10020903,135130-08_10020903_0100,1
10020917,135130-24_10020917_0400,1
10020920,135130-29_10020920_0500,1
10020938,135130-08_10020938_0100,1
10020940,135130-24_10020940_0400,1
10022257,151310-01_10022257_0400,1
10022275,134130-05_10022275_1700,1
10022300,135150-02_10022300_0500,1
10022315,134130-05_10022315_1400,1
10022460,134130-08_10022460_1400,1
10022470,135150-02_10022470_0600,1
10022552,151310-01_10022552_0300,1
10023190,135150-07_10023190_0200,1
10023245,135130-22_10023245_0400,1
10023290,134130-05_10023290_1700,1
10023539,135150-17_10023539_0300,1
10023644,135130-22_10023644_0400,1
10023648,135150-06_10023648_0700,1
10023667,135150-07_10023667_0200,1
10023698,135150-15_10023698_0500,1
10023724,135150-02_10023724_0300,1
10023743,135130-22_10023743_0400,1
10023770,135150-17_10023770_0800,1
10023914,134130-05_10023914_1700,1
10023917,134130-05_10023917_1400,1
10023921,134130-35_10023921_1300,1
10023956,135130-22_10023956_0400,1
10024051,135150-02_10024051_0300,1
10024051,135150-06_10024051_0200,1
10024070,135150-10_10024070_0200,1
10024070,135150-12_10024070_0400,1
10024071,135150-02_10024071_0400,1
10024071,135150-06_10024071_0500,1
10024095,135130-22_10024095_0400,1
10024241,135130-22_10024241_0400,1
10025098,135150-02_10025098_0300,1
10025131,135130-22_10025131_0400,1
10025195,135120-08_10025195_0200,1
10025283,135130-22_10025283_0400,1
10025286,135120-08_10025286_0200,1
10025290,135120-08_10025290_0200,1
10025294,135120-08_10025294_0200,1
10025298,135150-07_10025298_0200,1
10025306,135150-02_10025306_0300,1
10025325,134130-35_10025325_1500,1
10025348,135150-07_10025348_0200,1
10025358,135100-07_10025358_0900,1
10025358,135100-07_10025358_0700,1
10025358,135100-07_10025358_0800,1
10025358,135100-07_10025358_0400,1
10025358,135100-07_10025358_0300,1
10025358,135100-07_10025358_0600,1
10025475,135150-17_10025475_0800,1
10025481,135150-07_10025481_0200,1
10025484,135130-22_10025484_0400,1
10025497,135150-02_10025497_0500,1
10025497,135150-17_10025497_0800,1
10025562,135120-08_10025562_0200,1
10025568,135150-07_10025568_0200,1
10025575,135130-25_10025575_0400,1
10025620,134130-08_10025620_1400,1
10025650,135130-25_10025650_0400,1
10025654,135150-06_10025654_0400,1
10025654,135150-15_10025654_0300,1
10025655,135120-08_10025655_0200,1
10025659,135120-08_10025659_0100,1
10025677,135100-02_10025677_0100,1
10025677,135100-02_10025677_0200,1
10025677,135100-02_10025677_0300,1
10025677,135100-04_10025677_0600,1
10025728,134130-05_10025728_1700,1
10025738,135150-02_10025738_0400,1
10025781,135150-02_10025781_0500,1
10025781,135150-06_10025781_0400,1
10025796,135150-15_10025796_0600,1
10025800,134130-08_10025800_1400,1
10025948,135150-02_10025948_0300,1
10025951,135120-08_10025951_0200,1
10025983,134130-08_10025983_1400,1
10025995,134130-03_10025995_1400,1
10026039,135150-02_10026039_0500,1
10026039,135150-17_10026039_0800,1
10026054,135150-17_10026054_0800,1
10026098,135120-12_10026098_0500,1
10026112,135150-07_10026112_0200,1
10026118,135120-19_10026118_0100,1
10026158,134130-35_10026158_1500,1
10026171,135150-06_10026171_0400,1
10026171,135150-15_10026171_0300,1
10026218,135120-12_10026218_0100,1
10026221,135120-12_10026221_0100,1
10026257,135120-12_10026257_0100,1
10026285,134130-08_10026285_1400,1
10026381,134130-05_10026381_1400,1
10026442,134130-08_10026442_1400,1
10026570,135150-06_10026570_0200,1
10026692,135120-12_10026692_0200,1
10026698,135120-19_10026698_0100,1
10026720,135120-12_10026720_0200,1
10026751,135120-12_10026751_0100,1
10026775,135150-07_10026775_0300,1
10027029,135150-07_10027029_0200,1
10027055,135150-07_10027055_0200,1
10027127,135130-22_10027127_0400,1
10027128,135150-07_10027128_0300,1
10027132,134130-35_10027132_1500,1
10027135,134130-04_10027135_1400,1
10027211,135150-14_10027211_0600,1
10027211,135150-15_10027211_0200,1
10027212,135150-14_10027212_0200,1
10027213,135150-14_10027213_0200,1
10027214,135150-14_10027214_0200,1
10027215,135150-15_10027215_0100,1
10027238,134130-04_10027238_1400,1
10027258,134130-04_10027258_1400,1
10027401,135130-22_10027401_0400,1
10027438,134130-04_10027438_1400,1
10027465,134130-04_10027465_1400,1
10027562,135150-06_10027562_0200,1
10027616,135130-22_10027616_0400,1
10027723,135130-22_10027723_0400,1
10028021,134130-02_10028021_1400,1
10028039,134130-02_10028039_1400,1
10028042,134130-01_10028042_1300,1
10028178,134130-01_10028178_1400,1
10028211,134130-01_10028211_1300,1
10033102,151310-01_10033102_0300,1
10033314,135150-06_10033314_0200,1
10035085,135120-08_10035085_0200,1
10035143,135150-17_10035143_0800,1
10035202,135120-08_10035202_0200,1
10035222,135150-06_10035222_0200,1
10035275,135130-18_10035275_0500,1
10035275,135130-19_10035275_0200,1
10035275,135130-25_10035275_0400,1
10047098,151040-04_10047098_0200,1
10047229,140500-02_10047229_0100,1
10047699,134130-36_10047699_1300,1
10048003,111640-03_10048003_0300,1
10049482,124500-03_10049482_0100,1
10049891,124600-10_10049891_0100,1
10055820,134130-08_10055820_1300,1
10058137,134130-05_10058137_1300,1
10060021,123470-20_10020101_0300,1
10060026,123470-20_11038609_0100,1
10060026,123470-20_10015287_0300,1
10060027,123470-20_10001063_0300,1
10060027,123470-20_11037653_0100,1
10060028,123470-20_10012336_0300,1
10060159,135150-02_10060159_0300,1
10060177,111190-01_10060177_0100,1
10060177,111190-01_10060177_0103,1
10060177,111190-01_10060177_0109,1
10060177,111190-03_10060177_0201,1
10060177,111190-03_10060177_0202,1
10060178,111190-03_10060178_0302,1
10060178,111190-01_10060178_0109,1
10060178,111190-03_10060178_0301,1
10060178,111190-01_10060178_0100,1
10060178,111190-01_10060178_0104,1
10060180,111190-01_10060180_0100,1
10060180,111190-01_10060180_0105,1
10060180,111190-01_10060180_0108,1
10060180,111190-03_10060180_0300,1
10060180,111190-03_10060180_0301,1
10060203,151210-01_10072180_0200,1
10060203,151210-01_10072799_0500,1
10060203,151210-02_10072180_0500,1
10060203,151210-02_10072799_0600,1
10060314,111140-01_10002820_0100,1
10060364,100470-08_10060364_0110,1
10060496,123530-09_10060496_0800,1
10060564,135120-01_10060564_0100,1
10060566,135120-01_10060566_0100,1
10060568,135120-15_10060568_0200,1
10060583,100630-20_10060583_0310,1
10060650,123090-01_10060650_0100,1
10060690,111580-01_10060690_0500,1
10060690,111580-04_10060690_0400,1
10060693,111580-07_10060693_0100,1
10060728,123540-05_10060728_0100,1
10060744,111580-01_10060744_0500,1
10060744,111580-04_10060744_0400,1
10060839,151450-01_10060839_0100,1
10060848,123530-05_10060848_0802,1
10060848,123530-05_10060848_0800,1
10060848,123530-05_10060848_0801,1
10060860,124950-15_10060860_0200,1
10060860,124950-15_10060860_0210,1
10060871,151140-02_10577602_0200,1
10060919,135150-02_10060919_0600,1
10060925,151210-53_10005214_0100,1
10060925,151210-53_10082136_0100,1
10060991,123420-18_10060991_0500,1
